condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",RNA5S9,13.1176343352241,-5.25669434921194,0.688352357568212,-7.63663302873345,2.22975859639563e-14,8.68240694269973e-13,DOWN,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SYNGAP1,493.487343561602,-0.298076650258119,0.0639309185108764,-4.66248033347757,3.12420950717633e-6,2.85101239044676e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PCNPP1,18.946401105821,0.299216755236217,0.100376316121931,2.98094975783677,0.00287355933082947,0.0111664993955655,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TGFB3,31.2890690517569,-0.396648507674885,0.104766504786284,-3.78602405877736,1.53076860516e-4,8.8595748189446e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",LMNB1-DT,3.50028934135804,2.39814327424961,0.337865580811226,7.09792121615818,1.26647340858316e-12,3.8974697799623794e-11,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PCNX1,3349.07100408037,-0.267495099135849,0.0596838904869337,-4.48186431805096,7.39937839943475e-6,6.10728795362142e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PIK3R1,2663.29844547094,-0.100033846193718,0.0388159745792764,-2.57713086629868,0.00996242251123528,0.0316321766491808,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PIK3R1,2663.29844547094,-0.100033846193718,0.0388159745792764,-2.57713086629868,0.00996242251123528,0.0316321766491808,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HLA-C,43836.9164857291,0.44391175331598,0.0764601783326704,5.80579019034675,6.406314328355441e-9,1.03965404004016e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",FKBP3,546.518519641569,0.133457951476272,0.0559748367030765,2.38424905434225,0.0171140157052477,0.0495626743722934,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",FAM72C,1.81795336183011,0.910206940901924,0.262190456225696,3.47154871311719,5.1746543721448e-4,0.00255397470369968,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",VAMP5,291.535853608928,2.04314644549785,0.141081457113533,14.4820339065088,1.57370645259072e-47,9.481995510136109e-45,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PCNX3,941.329896261321,-0.087530270355858,0.0352011177377397,-2.48657644930449,0.0128978854302083,0.0391865691096137,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SGMS1,1140.98981868382,0.153927416977536,0.0559815532478927,2.749609613294,0.00596663029427101,0.0205308036095024,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PLCL2,2497.67856758433,0.16249371761046,0.0485548372632916,3.34660204356835,8.1808562955003e-4,0.00380477119117968,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GCATP1,18.6566314641986,-0.310809202371799,0.103588358073077,-3.00042599528932,0.0026960225820229,0.0105374074834408,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TXK,566.708066977412,-0.31305963635601,0.0796391890077151,-3.9309746904339,8.46021788150687e-5,5.2766316702528e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SLC30A7,667.402528714903,0.204545894296028,0.0409436146575303,4.99579472909112,5.85939607187322e-7,6.36115374403078e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CDH2,31.9925086730721,-0.877545851925107,0.192265649725192,-4.56423626986619,5.01315957113521e-6,4.33320634854254e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TXK,566.708066977412,-0.31305963635601,0.0796391890077151,-3.9309746904339,8.46021788150687e-5,5.2766316702528e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHAD,3.50450990737295,-0.586407440684443,0.232848610801459,-2.51840643869871,0.0117887198845758,0.0364011504352322,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MGME1,233.255622814951,0.137601356189135,0.0437210107789181,3.14725926362812,0.00164808756515054,0.0069098357245352,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
