"","process_1","process_2","shared_genes","genes"
"97","ANTIVIRAL & IFN","ADAPTIVE IMMUNE SYSTEM",31,"PHB1,UBE2N,MBL2,NCK1,WAS,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,TLR4,IRF8,CCL20,CCL24,CCL7,CCL23,IL12B,HLA-DPA1,ACOD1,IFNE,HDAC4,JAK1,IFNA8,IRF1,HCK"
"98","CELLULAR ADAPTIVE IMMUNE SYSTEM","T HELPER CELLS",31,"TNFSF4,SPN,GPR183,MTOR,GATA3,RC3H1,IL12B,HMGB1,CEBPB,RELB,IL4R,STAT6,TLR4,IL18BP,BCL3,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,NOTCH1,PHB1,BCL6,MYB,MEN1,KMT2A,PTGER4,ATP7A,ZFPM1"
"99","HUMORAL ADAPTIVE IMMUNE SYSTEM","NEUTROPHIL",31,"CAMP,CTSG,CCL20,CXCL1,CXCL2,S100A12,CXCL8,CXCL9,LGALS3,PF4V1,CCL1,CXCL6,CXCL3,CXCL5,XCL1,CCL8,F2,CCL18,PRTN3,AZU1,BTK,SYK,ADAM17,NCKAP1L,PRKCD,VAV1,CCR2,CCL2,MPL,FCER1G,LBP"
"100","NEUTROPHIL","HUMORAL ADAPTIVE IMMUNE SYSTEM",31,"CXCL8,CXCL6,CTSG,PRKCD,CAMP,FCER1G,SYK,CXCL9,CCL18,CCL8,CCL1,LBP,NCKAP1L,XCL1,VAV1,LGALS3,CXCL3,S100A12,CXCL5,PF4V1,CCL20,CCL2,CXCL1,CXCL2,CCR2,PRTN3,BTK,MPL,ADAM17,AZU1,F2"
"101","T HELPER CELLS","ADAPTIVE IMMUNE SYSTEM",31,"GPR183,RC3H1,HMGB1,CEBPB,RELB,IL4R,SPN,STAT6,MTOR,TLR4,IL18BP,IL12B,BCL3,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,NOTCH1,PHB1,TNFSF4,BCL6,GATA3,MYB,MEN1,KMT2A,PTGER4,ATP7A,ZFPM1"
"102","T HELPER CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM",31,"GPR183,RC3H1,HMGB1,CEBPB,RELB,IL4R,SPN,STAT6,MTOR,TLR4,IL18BP,IL12B,BCL3,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,NOTCH1,PHB1,TNFSF4,BCL6,GATA3,MYB,MEN1,KMT2A,PTGER4,ATP7A,ZFPM1"
"103","ARPP","DENDRITIC CELL",29,"CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,F2R,ALOX5,CDC42,EPS8,DOCK8,NLRP12,TGFBR2,HLA-DRB3,ARHGEF5,SPI1,BATF2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,LAG3,ZBTB46,IRF8"
"104","DENDRITIC CELL","ARPP",29,"CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,F2R,ALOX5,CDC42,EPS8,DOCK8,NLRP12,HLA-DRB3,ARHGEF5,SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,LAG3,ZBTB46,IRF8"
"105","DENDRITIC CELL","INNATE IMMUNE SYSTEM",29,"CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,F2R,ALOX5,CDC42,EPS8,DOCK8,NLRP12,HLA-DRB3,ARHGEF5,SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,LAG3,ZBTB46,IRF8"
"106","INNATE IMMUNE SYSTEM","DENDRITIC CELL",29,"HMGB1,CXCR2,HLA-DRB3,RELB,PSEN1,CCL5,IRF8,CDC42,CCR2,CCR1,CXCR4,CXCR1,CCR7,GPR183,PIK3CG,F2R,ALOX5,EPS8,DOCK8,NLRP12,NOTCH2,RBPJ,TGFBR2,ARHGEF5,SPI1,BATF2,LTBR,LAG3,ZBTB46"
"107","ANTIVIRAL & IFN","ARPP",28,"RNF135,PHB1,MAVS,RIGI,STING1,MBL2,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,TLR4,IRF8,CDC42,RPL13A,CCL20,CCL24,CASP1,SIRPA,CCL7,CCL23,HCK"
"108","ARPP","ANTIVIRAL & IFN",28,"MBL2,MAVS,RIGI,STING1,CCL5,CDC42,TLR4,CCL2,RPL13A,CCL3,CCL3L1,CX3CL1,CCL18,CCL1,CCL7,XCL1,CCL23,CCL4,CCL4L1,CCL24,CCL20,CCL8,SIRPA,CASP1,IRF8,HCK,RNF135,PHB1"
"109","ADAPTIVE IMMUNE SYSTEM","NK CELL",27,"STAT5B,IL2,HLA-E,LAG3,KLRC2,RNF19B,IFNA8,PIK3CG,KLRK1,IFNE,PTPRC,RASGRP1,CEBPG,SP3,PTPN6,RAB27A,IL15,UNC13D,AXL,TYRO3,MERTK,XCL1,GATA3,PBX1,CORO1A,EMP2,IL12B"
"110","NK CELL","ADAPTIVE IMMUNE SYSTEM",27,"XCL1,IL12B,GATA3,KLRK1,IL2,RASGRP1,IFNA8,IFNE,PIK3CG,UNC13D,RAB27A,CORO1A,SP3,PBX1,PTPRC,MERTK,AXL,STAT5B,TYRO3,IL15,PTPN6,LAG3,CEBPG,RNF19B,KLRC2,EMP2,HLA-E"
"111","GENERAL","MONOCYTE",26,"CTSG,CCL20,S100A12,RPS19,LGALS3,CCL1,XCL1,CCL8,CCL18,AZU1,PECAM1,IL6R,CCR2,CCL2,CCL4L1,CCL24,CCL4,CCL23,CCL7,CCL3L1,CCL5,CCL3,CX3CL1,P0DOX3,CSF1,JAML"
"112","MONOCYTE","GENERAL",26,"AZU1,CSF1,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,JAML,PECAM1"
"113","MONOCYTE","NEUTROPHIL",25,"AZU1,CSF1,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,CCL4,CCL4L1,CCL24,CCR2,CCL20,CCL8,S100A12,JAML,PECAM1,MPL"
"114","NEUTROPHIL","MONOCYTE",25,"CCL5,CTSG,JAML,CCL24,CCL18,CCL8,CCL1,CCL3L1,CX3CL1,CCL3,XCL1,LGALS3,S100A12,CCL4L1,CCL4,CCL7,CCL23,CCL20,CCL2,CCR2,PECAM1,CSF1,MPL,IL6R,AZU1"
"115","INNATE IMMUNE SYSTEM","MAST CELL",24,"PIK3CG,FCER1A,BTK,SNAP23,SLC18A2,RAB44,RASGRP1,CHGA,S100A12,SYK,SLC15A4,KITLG,NF1,KIT,CBL,CLNK,GPR15LG,PTGDS,MILR1,ADORA2B,CPLX2,SERPINB9,NDST2,STAT5B"
"116","MAST CELL","INNATE IMMUNE SYSTEM",24,"BTK,SNAP23,SLC18A2,RAB44,S100A12,CHGA,KITLG,NF1,KIT,CBL,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,FCER1A,MILR1,ADORA2B,CPLX2,SLC15A4,SERPINB9,NDST2,STAT5B"
"117","ARPP","B CELL",23,"MBL2,LBP,GPR183,TLR4,TICAM1,PRKCE,SYK,PLCG2,MPL,HSPD1,BTK,SPI1,NOTCH2,RBPJ,NFKBIA,TNFAIP3,IRF8,HCK,PHB1,EP300,SRC,BCL10,CD40"
"118","ARPP","IMMUNOGLOBULIN MEDIATED RESPONSE",23,"MBL2,LBP,GPR183,TLR4,TICAM1,PRKCE,SYK,PLCG2,MPL,HSPD1,BTK,SPI1,NOTCH2,RBPJ,NFKBIA,TNFAIP3,IRF8,HCK,PHB1,EP300,SRC,BCL10,CD40"
"119","ARPP","T CELL",23,"CCR7,GPR183,PIK3CG,DOCK8,JMJD6,SLC11A1,IL33,SYK,PLCG2,CCL2,CCL3,LIPA,CCL20,JAML,HSPD1,BTK,HLA-DRB3,PSEN1,LAG3,KLRC1,SRC,KLRK1,BCL10"
"120","B CELL","ARPP",23,"TICAM1,CD40,PHB1,HSPD1,BTK,GPR183,PLCG2,EP300,SYK,RBPJ,TLR4,NFKBIA,TNFAIP3,SRC,PRKCE,HCK,IRF8,SPI1,MPL,BCL10,NOTCH2,LBP,MBL2"
"121","COMPLEMENT","GENERAL",23,"C4B,C7,CFH,C4A,C6,CFD,MASP1,C1S,CLU,C1R,MASP2,CFP,CFB,CR1,CR2,SUSD4,C1QBP,CD46,MBL2,C4BPB,CD55,NCR3LG1,C5AR1"
"122","GENERAL","COMPLEMENT",23,"NCR3LG1,C7,C1R,CR2,C6,C5AR1,CFP,C1QBP,CD55,CFD,C1S,CFB,CFH,MBL2,CLU,CR1,MASP2,C4A,CD46,MASP1,SUSD4,C4B,C4BPB"
"123","IMMUNOGLOBULIN MEDIATED RESPONSE","ARPP",23,"TICAM1,CD40,PHB1,HSPD1,BTK,GPR183,PLCG2,EP300,SYK,RBPJ,TLR4,NFKBIA,TNFAIP3,SRC,PRKCE,HCK,IRF8,SPI1,MPL,BCL10,NOTCH2,LBP,MBL2"
"124","T CELL","ARPP",23,"SYK,KLRC1,CCR7,JAML,CCL2,DOCK8,HSPD1,LAG3,PIK3CG,PSEN1,CCL3,GPR183,SRC,KLRK1,LIPA,JMJD6,CCL20,SLC11A1,BTK,PLCG2,BCL10,HLA-DRB3,IL33"
"125","CELLULAR ADAPTIVE IMMUNE SYSTEM","NEUTROPHIL",22,"SYK,IL15,CXADR,JAML,CCL2,C5AR1,CX3CL1,AZU1,NCKAP1L,PIK3CG,VAV1,F2RL1,CCL3,ADAM17,FCER1G,EMP2,CCL20,BTK,PDE4B,HMGB1,CCR2,IL6R"
"126","COMPLEMENT","INNATE IMMUNE SYSTEM",22,"C4B,C7,CFH,C4A,C6,CFD,MASP1,C1S,CLU,C1R,MASP2,CFP,CFB,CR1,CR2,SUSD4,C1QBP,CD46,MBL2,C4BPB,CD55,C5AR1"
"127","EOSINOPHIL","INNATE IMMUNE SYSTEM",22,"SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX"
"128","INNATE IMMUNE SYSTEM","COMPLEMENT",22,"MBL2,CLU,CFD,CD46,C1S,C4B,CR1,MASP2,CFH,C1QBP,CFP,CD55,C4A,C1R,C7,SUSD4,C6,C4BPB,CFB,MASP1,CR2,C5AR1"
"129","INNATE IMMUNE SYSTEM","EOSINOPHIL",22,"MPL,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,CCL24,CCL7,CCL23,SCG2,LGALS3,VAMP2,VAMP7,FCER1A,BTK,EPX"
"130","NEUTROPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM",22,"F2RL1,IL15,FCER1G,SYK,JAML,C5AR1,PIK3CG,CX3CL1,CCL3,NCKAP1L,PDE4B,VAV1,CXADR,CCL20,CCL2,HMGB1,CCR2,BTK,ADAM17,IL6R,EMP2,AZU1"
"131","GENERAL","NK CELL",21,"HLA-E,FCGR3A,XCL1,IFNA8,GATA3,IFNE,KIR3DL1,CEBPG,IL15,PIK3CG,RAET1G,IL2,BAG6,LGALS9,KLRC2,KLRK1,RNF19B,AXL,LAG3,PRDX1,CORO1A"
"132","INFLAMMATION","INNATE IMMUNE SYSTEM",21,"NLRP6,ELANE,IL31RA,CD6,CXCR2,IL10,NOTCH1,PNMA1,IL20RB,HMGB2,FOSL2,IL5RA,IL1RN,HMGB1,NOTCH2,RBPJ,RASGRP1,CD68,SIRT2,PRDX2,LIPA"
"133","INNATE IMMUNE SYSTEM","INFLAMMATION",21,"HMGB1,NLRP6,ELANE,IL31RA,CD6,CXCR2,IL10,NOTCH1,PNMA1,IL20RB,HMGB2,FOSL2,IL5RA,IL1RN,NOTCH2,RBPJ,RASGRP1,CD68,SIRT2,LIPA,PRDX2"
"134","NK CELL","GENERAL",21,"XCL1,PRDX1,GATA3,KLRK1,BAG6,FCGR3A,IL2,IFNA8,IFNE,PIK3CG,CORO1A,AXL,IL15,RAET1G,LAG3,CEBPG,RNF19B,KIR3DL1,KLRC2,LGALS9,HLA-E"
"135","ADAPTIVE IMMUNE SYSTEM","MONOCYTE",20,"P0DOX3,JAML,CCL2,MPL,CCL3,CCL18,CCL4,CCL7,XCL1,CX3CL1,CCL4L1,CCL1,CCL3L1,CCL8,CCL24,CCL5,CCL20,CCL23,CCR2,IL6R"
"136","MONOCYTE","ADAPTIVE IMMUNE SYSTEM",20,"P0DOX3,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,XCL1,CCL5,CCL2,CCL23,CCL4,CCL4L1,CCL24,CCR2,CCL20,CCL8,JAML,MPL"
"137","ANTIMICROBIAL","NEUTROPHIL",19,"CAMP,CCL20,CXCL1,CXCL2,S100A12,CXCL8,CXCL9,LGALS3,PF4V1,CCL1,CXCL6,CXCL3,CXCL5,XCL1,CCL8,F2,CCL18,PRTN3,AZU1"
"138","CELLULAR ADAPTIVE IMMUNE SYSTEM","NK CELL",19,"STAT5B,IL2,PTPRC,HLA-E,RAB27A,IL15,CORO1A,LAG3,PIK3CG,RASGRP1,IFNE,IFNA8,PTPN6,KLRK1,GATA3,SP3,EMP2,IL12B,PBX1"
"139","GENERAL","MACROPHAGE",19,"FCGR3A,HAMP,LGALS3,SLC11A1,AZU1,CCR2,CCL2,IL13,CCL5,TLR4,CCL3,PRKCE,SFTPD,CSF1,LBP,SYK,MCOLN2,TICAM1,IFI35"
"140","MACROPHAGE","GENERAL",19,"IL13,HAMP,FCGR3A,SLC11A1,TLR4,TICAM1,IFI35,PRKCE,SYK,LBP,SFTPD,CCL2,LGALS3,AZU1,CCL5,CCL3,CSF1,MCOLN2,CCR2"
"141","NEUTROPHIL","ANTIMICROBIAL",19,"CXCL8,CXCL6,CAMP,CXCL9,CCL18,CCL8,CCL1,XCL1,LGALS3,CXCL3,S100A12,CXCL5,PF4V1,CCL20,CXCL1,CXCL2,PRTN3,AZU1,F2"
"142","NK CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM",19,"IL12B,GATA3,KLRK1,IL2,RASGRP1,IFNA8,IFNE,PIK3CG,RAB27A,CORO1A,SP3,PBX1,PTPRC,STAT5B,IL15,PTPN6,LAG3,EMP2,HLA-E"
"143","ANTIVIRAL & IFN","NEUTROPHIL",18,"NLRP6,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,FCAR,CX3CL1,XCL1,CCL20,STXBP3,CCL24,CCL7,CCL23"
"144","EOSINOPHIL","NEUTROPHIL",18,"CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP7,BTK,MPL"
"145","NEUTROPHIL","ANTIVIRAL & IFN",18,"CCL5,FCAR,CCL24,CCL18,CCL8,CCL1,CCL3L1,CX3CL1,CCL3,XCL1,CCL4L1,CCL4,CCL7,CCL23,CCL20,CCL2,STXBP3,NLRP6"
"146","NEUTROPHIL","EOSINOPHIL",18,"CCL5,CCL24,CCL18,CCL8,CCL1,CCL3L1,CX3CL1,CCL3,XCL1,LGALS3,CCL4L1,CCL4,CCL7,CCL23,CCL2,VAMP7,BTK,MPL"
"147","NK CELL","T CELL",18,"IL12B,GATA3,KLRK1,IL2,RASGRP1,IFNA8,IFNE,PIK3CG,RAB27A,CORO1A,SP3,PTPRC,STAT5B,IL15,PTPN6,LAG3,EMP2,HLA-E"
"148","T CELL","NK CELL",18,"STAT5B,IL2,PTPRC,HLA-E,RAB27A,IL15,CORO1A,LAG3,PIK3CG,RASGRP1,IFNE,IFNA8,PTPN6,KLRK1,GATA3,SP3,EMP2,IL12B"
"149","ADAPTIVE IMMUNE SYSTEM","EOSINOPHIL",17,"BTK,CCL2,MPL,CCL3,CCL18,CCL4,CCL7,XCL1,CX3CL1,CCL4L1,CCL1,CCL3L1,CCL8,CCL24,CCL5,CCL23,FCER1A"
"150","ANTIVIRAL & IFN","CELLULAR ADAPTIVE IMMUNE SYSTEM",17,"PHB1,UBE2N,NCK1,WAS,CCL3,CCL2,CX3CL1,TLR4,CCL20,IL12B,AIF1,IFNE,JAK1,IFNA8,IRF1,IFNGR1,IFNGR2"
"151","ARPP","EOSINOPHIL",17,"CCL5,CCL2,LGALS3,CCL3,CCL3L1,CX3CL1,CCL18,CCL1,CCL7,XCL1,CCL23,CCL4,CCL4L1,CCL24,CCL8,MPL,BTK"
"152","CELLULAR ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL & IFN",17,"IRF1,CCL2,AIF1,IFNGR1,IFNGR2,CX3CL1,WAS,NCK1,IFNE,IFNA8,CCL3,CCL20,IL12B,UBE2N,TLR4,JAK1,PHB1"
"153","DENDRITIC CELL","GENERAL",17,"CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,ALOX5,HLA-DRB3,NOTCH2,LTBR,RBPJ,LAG3,IRF8"
"154","EOSINOPHIL","ADAPTIVE IMMUNE SYSTEM",17,"CCL5,CCL4,CCL18,CCL3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,FCER1A,BTK,MPL"
"155","EOSINOPHIL","ARPP",17,"CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,BTK,MPL"
"156","GENERAL","DENDRITIC CELL",17,"LTBR,CCR2,NOTCH2,ALOX5,GPR183,RBPJ,CCR7,CCR1,CXCR1,PIK3CG,HLA-DRB3,CCL5,CXCR4,IRF8,CXCR2,HMGB1,LAG3"
"157","ADAPTIVE IMMUNE SYSTEM","MACROPHAGE",16,"SYK,MCOLN2,TICAM1,PLCG2,TLR4,LIPA,PRKCE,CCL2,CCL3,SAA1,CCL5,LBP,JMJD6,SLC11A1,CCR2,IL33"
"158","ANTIVIRAL & IFN","MONOCYTE",16,"CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,CCL20,CCL24,SIRPA,CCL7,CCL23"
"159","EOSINOPHIL","GENERAL",16,"CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,BTK"
"160","EOSINOPHIL","MONOCYTE",16,"CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,MPL"
"161","GENERAL","EOSINOPHIL",16,"LGALS3,CCL1,XCL1,CCL8,CCL18,CCL2,CCL4L1,CCL24,CCL4,CCL23,CCL7,CCL3L1,CCL5,CCL3,CX3CL1,BTK"
"162","GENERAL","T HELPER CELLS",16,"BCL3,IL6R,CCR2,GATA3,GPR183,NOTCH1,TNFSF4,SPN,TLR4,PTGER4,CEBPB,IL4R,HMGB1,BCL6,RORC,RC3H1"
"163","MACROPHAGE","ADAPTIVE IMMUNE SYSTEM",16,"JMJD6,SLC11A1,TLR4,TICAM1,IL33,PRKCE,SYK,LBP,PLCG2,CCL2,CCL5,SAA1,CCL3,LIPA,MCOLN2,CCR2"
"164","MONOCYTE","ANTIVIRAL & IFN",16,"CCL3L1,CX3CL1,CCL3,CCL18,CCL1,CCL7,XCL1,CCL5,CCL2,CCL23,CCL4,CCL4L1,CCL24,CCL20,CCL8,SIRPA"
"165","MONOCYTE","EOSINOPHIL",16,"CCL3L1,CX3CL1,CCL3,CCL18,CCL1,CCL7,LGALS3,XCL1,CCL5,CCL2,CCL23,CCL4,CCL4L1,CCL24,CCL8,MPL"
"166","NEUTROPHIL","T CELL",16,"F2RL1,IL15,FCER1G,SYK,JAML,PIK3CG,CCL3,NCKAP1L,PDE4B,VAV1,CXADR,CCL20,CCL2,BTK,ADAM17,EMP2"
"167","T CELL","NEUTROPHIL",16,"SYK,IL15,CXADR,JAML,CCL2,PIK3CG,VAV1,F2RL1,CCL3,ADAM17,FCER1G,NCKAP1L,EMP2,CCL20,BTK,PDE4B"
"168","T HELPER CELLS","GENERAL",16,"GPR183,RC3H1,HMGB1,CEBPB,IL4R,SPN,TLR4,BCL3,CCR2,RORC,IL6R,NOTCH1,TNFSF4,BCL6,GATA3,PTGER4"
"169","ADAPTIVE IMMUNE SYSTEM","DENDRITIC CELL",15,"LAG3,HLA-DRB3,GPR183,HMGB1,PIK3CG,RBPJ,CCR7,IRF8,SPI1,DOCK8,CCL5,RELB,NOTCH2,PSEN1,CCR2"
"170","DENDRITIC CELL","ADAPTIVE IMMUNE SYSTEM",15,"CCR2,CCR7,HMGB1,GPR183,PIK3CG,CCL5,DOCK8,HLA-DRB3,SPI1,NOTCH2,PSEN1,RELB,RBPJ,LAG3,IRF8"
"171","ANTIVIRAL & IFN","EOSINOPHIL",14,"CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,CCL24,CCL7,CCL23"
"172","ANTIVIRAL & IFN","HUMORAL ADAPTIVE IMMUNE SYSTEM",14,"PHB1,MBL2,CCL8,CCL1,CCL18,CCL2,XCL1,TLR4,IRF8,CCL20,IFNE,HDAC4,IFNA8,HCK"
"173","EOSINOPHIL","ANTIVIRAL & IFN",14,"CCL5,CCL4,CCL18,CCL3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24"
"174","GENERAL","INFLAMMATION",14,"NOTCH2,RBPJ,NOTCH1,IL10,IL1RN,CXCR2,HMGB1,HMGB2,SIRT2,IL31RA,NLRP6,CD6,PRDX2,ELANE"
"175","HUMORAL ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL & IFN",14,"CCL20,CCL1,XCL1,CCL8,CCL18,PHB1,HDAC4,IFNA8,IFNE,TLR4,HCK,IRF8,CCL2,MBL2"
"176","INFLAMMATION","GENERAL",14,"NLRP6,ELANE,IL31RA,CD6,CXCR2,IL10,NOTCH1,HMGB2,IL1RN,HMGB1,NOTCH2,RBPJ,SIRT2,PRDX2"
"177","CELLULAR ADAPTIVE IMMUNE SYSTEM","MACROPHAGE",13,"SYK,CCL2,IL13,AZU1,IL33,HAMP,CCL3,LIPA,JMJD6,SLC11A1,PLCG2,TLR4,CCR2"
"178","HUMORAL ADAPTIVE IMMUNE SYSTEM","MACROPHAGE",13,"HAMP,LGALS3,SLC11A1,AZU1,TICAM1,PLCG2,SYK,TLR4,PRKCE,CCR2,CCL2,LBP,LIPA"
"179","HUMORAL ADAPTIVE IMMUNE SYSTEM","MONOCYTE",13,"CTSG,CCL20,S100A12,RPS19,LGALS3,CCL1,XCL1,CCL8,CCL18,AZU1,CCR2,CCL2,MPL"
"180","MACROPHAGE","CELLULAR ADAPTIVE IMMUNE SYSTEM",13,"IL13,HAMP,JMJD6,SLC11A1,TLR4,IL33,SYK,PLCG2,CCL2,AZU1,CCL3,LIPA,CCR2"
"181","MACROPHAGE","HUMORAL ADAPTIVE IMMUNE SYSTEM",13,"HAMP,SLC11A1,TLR4,TICAM1,PRKCE,SYK,LBP,PLCG2,CCL2,LGALS3,AZU1,LIPA,CCR2"
"182","MACROPHAGE","NEUTROPHIL",13,"EDN2,SYK,LBP,CCL2,LGALS3,AZU1,CCL5,SAA1,CCL3,CSF1,MCOLN2,BCR,CCR2"
"183","MONOCYTE","HUMORAL ADAPTIVE IMMUNE SYSTEM",13,"AZU1,CCL18,CCL1,LGALS3,CTSG,XCL1,CCL2,CCR2,CCL20,RPS19,CCL8,S100A12,MPL"
"184","NEUTROPHIL","MACROPHAGE",13,"CCL5,SYK,SAA1,LBP,CCL3,LGALS3,EDN2,CCL2,CCR2,BCR,CSF1,MCOLN2,AZU1"
"185","ADAPTIVE IMMUNE SYSTEM","INFLAMMATION",12,"CD6,HMGB1,RASGRP1,IL10,RBPJ,FOSL2,LIPA,NOTCH2,IL20RB,PRDX2,NOTCH1,HMGB2"
"186","ANTIMICROBIAL","ARPP",12,"CCL20,HAMP,S100A12,RPS19,REG3G,LGALS3,CCL1,XCL1,CCL8,CCL18,SLC11A1,AZU1"
"187","ARPP","ANTIMICROBIAL",12,"HAMP,SLC11A1,LGALS3,AZU1,CCL18,CCL1,XCL1,CCL20,RPS19,CCL8,S100A12,REG3G"
"188","HUMORAL ADAPTIVE IMMUNE SYSTEM","NK CELL",12,"HLA-E,XCL1,RASGRP1,PTPRC,IFNA8,STAT5B,CEBPG,SP3,IFNE,PTPN6,GATA3,PBX1"
"189","HUMORAL ADAPTIVE IMMUNE SYSTEM","T HELPER CELLS",12,"BCL3,PHB1,GPR183,BCL6,RC3H1,TLR4,CCR2,GATA3,NOTCH1,IL4R,STAT6,KMT2A"
"190","INFLAMMATION","ADAPTIVE IMMUNE SYSTEM",12,"CD6,IL10,NOTCH1,IL20RB,HMGB2,FOSL2,HMGB1,NOTCH2,RBPJ,RASGRP1,PRDX2,LIPA"
"191","INNATE IMMUNE SYSTEM","T HELPER CELLS",12,"TLR4,HMGB1,RELB,PHB1,IL12B,CCR2,GPR183,CEBPB,NOTCH1,GATA3,IL6R,JAK1"
"192","NK CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM",12,"XCL1,GATA3,RASGRP1,IFNA8,IFNE,SP3,PBX1,PTPRC,STAT5B,PTPN6,CEBPG,HLA-E"
"193","T HELPER CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM",12,"GPR183,RC3H1,IL4R,STAT6,TLR4,BCL3,CCR2,NOTCH1,PHB1,BCL6,GATA3,KMT2A"
"194","T HELPER CELLS","INNATE IMMUNE SYSTEM",12,"GPR183,HMGB1,CEBPB,RELB,TLR4,IL12B,CCR2,IL6R,JAK1,NOTCH1,PHB1,GATA3"
"195","ADAPTIVE IMMUNE SYSTEM","ANTIMICROBIAL",11,"BCL3,CCL18,XCL1,CCL1,CCL8,CCL20,CXCL12,DEFA4,DEFA1,B2M,SLC11A1"
"196","ANTIMICROBIAL","ADAPTIVE IMMUNE SYSTEM",11,"DEFA4,CXCL12,DEFA1,CCL20,CCL1,B2M,XCL1,CCL8,CCL18,BCL3,SLC11A1"
"197","ANTIVIRAL & IFN","T CELL",10,"UBE2N,NCK1,WAS,CCL3,CCL2,CCL20,IL12B,IFNE,IFNA8,IRF1"
"198","CELLULAR ADAPTIVE IMMUNE SYSTEM","DENDRITIC CELL",10,"CCR7,DOCK8,LAG3,PIK3CG,PSEN1,GPR183,HLA-DRB3,HMGB1,RELB,CCR2"
"199","DENDRITIC CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM",10,"CCR2,CCR7,HMGB1,GPR183,PIK3CG,DOCK8,HLA-DRB3,PSEN1,RELB,LAG3"
"200","T CELL","ANTIVIRAL & IFN",10,"IRF1,CCL2,WAS,NCK1,IFNE,IFNA8,CCL3,CCL20,IL12B,UBE2N"
"201","ADAPTIVE IMMUNE SYSTEM","MAST CELL",9,"STAT5B,SYK,BTK,PIK3CG,RASGRP1,KIT,GPR15LG,KITLG,FCER1A"
"202","ANTIMICROBIAL","CELLULAR ADAPTIVE IMMUNE SYSTEM",9,"DEFA4,CXCL12,DEFA1,CCL20,HAMP,B2M,BCL3,SLC11A1,AZU1"
